+,-,*,/,m,i,n,(,),;,Îµ, ,#,L,E,T,F,G,H
 , , , , ,s4,s5,s6, , , , , , ,1,2,3, , 
 , , , , , , , , ,s7, , , , , , , , , 
s9,s10, , , , , , , , ,s11, , , , , , ,8, 
 , ,s13,s14,s15, , , , , ,s16, , , , , , , ,12
r12,r12,r12,r12,r12, , , ,r12,r12, , , , , , , , , 
r13,r13,r13,r13,r13, , , ,r13,r13, , , , , , , , , 
 , , , , ,s4,s5,s6, , , , , , ,17,2,3, , 
 , , , , ,s4,s5,s6, , ,s19, , ,18,1,2,3, , 
 , , , , , , , ,r2,r2, , , , , , , , , 
 , , , , ,s4,s5,s6, , , , , , , ,20,3, , 
 , , , , ,s4,s5,s6, , , , , , , ,21,3, , 
 , , , , , , , ,r5,r5, , , , , , , , , 
r6,r6, , , , , , ,r6,r6, , , , , , , , , 
 , , , , ,s4,s5,s6, , , , , , , , ,22, , 
 , , , , ,s4,s5,s6, , , , , , , , ,23, , 
 , , , , , , , , , , ,s24, , , , , , , 
r10,r10, , , , , , ,r10,r10, , , , , , , , , 
 , , , , , , , ,s25, , , , , , , , , , 
 , , , , , , , , , , , ,acc, , , , , , 
 , , , , , , , , , , , ,r1, , , , , , 
s9,s10, , , , , , , , ,s11, , , , , , ,26, 
s9,s10, , , , , , , , ,s11, , , , , , ,27, 
 , ,s13,s14,s15, , , , , ,s16, , , , , , , ,28
 , ,s13,s14,s15, , , , , ,s16, , , , , , , ,29
 , , , , ,s4,s5,s6, , , , , , , , ,30, , 
r11,r11,r11,r11,r11, , , ,r11,r11, , , , , , , , , 
 , , , , , , , ,r3,r3, , , , , , , , , 
 , , , , , , , ,r4,r4, , , , , , , , , 
r7,r7, , , , , , ,r7,r7, , , , , , , , , 
r8,r8, , , , , , ,r8,r8, , , , , , , , , 
 , ,s13,s14,s15, , , , , ,s16, , , , , , , ,31
r9,r9, , , , , , ,r9,r9, , , , , , , , , 
